ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,1,189.69832307351308,nan,1,0
1,2,129.32141113064685,82.01177221866227,1,1
1,3,167.4013052437073,95.90820567722713,2,2
1,4,159.2870111092444,nan,1,0
1,5,157.53776351198678,nan,1,0
1,6,184.06675028446233,nan,1,0
1,7,158.80775960355126,nan,1,0
1,8,163.07498296399316,93.60209094092244,2,2
1,9,170.87380543776766,nan,1,0
1,10,168.52775569381734,84.52461203859805,2,2
1,11,153.86612866389405,nan,1,0
1,12,153.7370429709608,72.85022003058924,2,2
1,13,122.47581545608743,77.95720811831269,1,1
1,14,129.05096619443725,87.3484185727751,1,1
1,15,117.49539032618848,71.76330175418792,1,1
1,16,149.61990017522163,nan,2,0
1,17,149.98772671724294,nan,1,0
1,18,211.3559402228329,nan,1,0
1,19,98.36287126193226,50.73014961071506,1,1
1,20,142.51670676062648,nan,1,0
1,21,135.12205914225933,103.36115968661535,1,1
1,22,129.08526680197775,69.45007267362632,2,2
1,23,132.40934728731898,105.29201007798606,1,1
1,24,133.99930661375885,107.19180607102878,1,1
1,25,117.13333687300401,58.43806258989261,2,2
1,26,111.43639599388477,90.47341162703445,1,1
1,27,116.89941998086691,63.49466200402954,2,2
1,28,111.5112484440519,92.30108310380875,1,1
1,29,113.44186784361636,29.55068522666452,2,2
1,30,109.64087022844195,25.530774858601134,2,2
1,31,126.9963326078813,nan,3,0
1,32,111.4220605188648,29.015255020599973,2,2
1,33,125.061937664348,nan,3,0
1,34,97.21280863451582,47.457067126685175,2,2
1,35,107.73974921593943,26.933921354941997,2,2
1,36,118.18891486316568,nan,3,0
1,37,125.84635031120534,nan,3,0
1,38,112.88429768574026,nan,3,0
1,39,119.77487080893259,nan,3,0
1,40,103.57723586026972,30.538992904598654,2,2
1,41,95.66662030733131,16.865909199758686,2,2
1,42,113.80332784512963,nan,1,0
1,43,96.1901036561355,21.5448464240071,2,2
1,44,110.39495542756596,nan,3,0
1,45,92.49053209089189,20.343374722502734,2,2
1,46,100.68293597521104,36.25785114843298,2,2
1,47,110.74474086556603,nan,3,0
1,48,104.73606843593453,nan,3,0
1,49,157.05315964319402,nan,1,0
