 ,Mean,X,Y,,Bin Center,# values
1,1.625,929.375,9.625,,0,15
2,31.556,837.5,15.5,,10,27
3,11.333,829.5,36.5,,20,29
4,89,530.5,39.5,,30,29
5,7.333,613.5,40.5,,40,17
6,76,543.5,43.5,,50,15
7,43,869.5,102.5,,60,10
8,8.556,130.5,110.5,,70,18
9,30.333,222.5,138.5,,80,15
10,17.444,301.5,151.5,,90,9
11,16.778,825.5,153.5,,100,6
12,21.111,629.5,175.5,,110,8
13,5,296.5,188.5,,120,5
14,2,537.5,189.5,,130,5
15,13,216.5,190.5,,140,1
16,38.111,348.5,193.5,,,
17,38.111,922.5,199.5,,,
18,64.333,379.5,201.5,,,
19,11,571.5,225.5,,,
20,26.889,69.5,254.5,,,
21,32.222,203.5,258.5,,,
22,30.444,179.5,276.5,,,
23,78,988.5,277.5,,,
24,50.556,223.5,298.5,,,
25,121.778,665.5,315.5,,,
26,12,299.5,353.5,,,
27,16.444,466.5,368.5,,,
28,91.667,617.5,392.5,,,
29,23.333,373.5,394.5,,,
30,37,520.5,395.5,,,
31,46.667,543.5,401.5,,,
32,50.333,461.5,403.5,,,
33,60.889,549.5,414.5,,,
34,95.667,607.5,414.5,,,
35,25.778,327.5,418.5,,,
36,33.778,293.5,419.5,,,
37,9.111,345.5,419.5,,,
38,22,311.5,425.5,,,
39,71,523.5,429.5,,,
40,18.667,274.5,439.5,,,
41,71,770.5,442.5,,,
42,13.444,262.5,452.5,,,
43,8,411.5,454.5,,,
44,80,537.5,458.5,,,
45,1,278.833,458.833,,,
46,60.333,519.5,467.5,,,
47,93.444,559.5,469.5,,,
48,125,594.5,470.5,,,
49,75.556,540.5,471.5,,,
50,119.222,588.5,471.5,,,
51,91.556,564.5,485.5,,,
52,42.889,511.5,486.5,,,
53,22.222,395.5,498.5,,,
54,7,234.5,512.5,,,
55,56.333,607.5,564.5,,,
56,67,637.5,566.5,,,
57,87.667,692.5,568.5,,,
58,42.667,587.5,570.5,,,
59,77.444,704.5,574.5,,,
60,52.333,629.5,579.5,,,
61,23,224.5,582.5,,,
62,67.556,718.5,582.5,,,
63,27,571.5,583.5,,,
64,43.111,614.5,584.5,,,
65,46.333,623.5,584.5,,,
66,67.556,672.5,585.5,,,
67,80.556,707.5,589.5,,,
68,20,551.5,591.5,,,
69,21,590.5,595.5,,,
70,72.111,728.5,603.5,,,
71,9.778,531.5,605.5,,,
72,18,600.5,605.5,,,
73,2,569.5,608.5,,,
74,5.556,442.5,612.5,,,
75,17,641.5,625.5,,,
